epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,499.705,0.99556,1.39622,1.43183,0.95919,1,0.995,0.59795,1.53417,0.71896,2.02102,0.0007055,0.0007055,0.0007055
46,505.144,0.99036,1.33426,1.34611,0.95911,1,0.995,0.60559,1.55919,0.66158,2.05355,0.000693125,0.000693125,0.000693125
47,510.364,0.97544,1.29718,1.36023,0.95948,1,0.995,0.57624,1.55075,0.73072,1.95812,0.00068075,0.00068075,0.00068075
48,515.636,1.03036,1.24574,1.37671,0.95429,1,0.995,0.61358,1.46786,0.90818,1.80418,0.000668375,0.000668375,0.000668375
49,521.226,0.97879,1.27016,1.33736,0.9513,1,0.995,0.59693,1.60213,0.91387,2.04106,0.000656,0.000656,0.000656
50,526.517,0.98454,1.2639,1.35746,0.96909,1,0.995,0.63017,1.41292,0.70663,1.83718,0.000643625,0.000643625,0.000643625
51,532.026,0.94858,1.28641,1.40145,0.93862,1,0.995,0.6965,1.19369,0.68986,1.74218,0.00063125,0.00063125,0.00063125
52,537.481,0.93081,1.20824,1.38021,0.94788,1,0.995,0.58509,1.55638,1.08323,2.11502,0.000618875,0.000618875,0.000618875
53,542.839,0.9202,1.18682,1.37338,0.83326,1,0.995,0.597,1.43241,0.9204,1.81618,0.0006065,0.0006065,0.0006065
54,548.305,0.91848,1.12809,1.30633,0.83974,1,0.995,0.66333,1.36638,0.78251,1.66688,0.000594125,0.000594125,0.000594125
55,553.832,0.90955,1.20462,1.37989,0.94693,1,0.995,0.57298,1.4371,0.64195,1.79811,0.00058175,0.00058175,0.00058175
56,559.444,0.84079,1.13391,1.27792,0.9613,1,0.995,0.51029,1.64541,0.65133,2.18879,0.000569375,0.000569375,0.000569375
57,565.117,0.92044,1.10187,1.29394,0.93307,1,0.995,0.49883,1.74612,0.61392,2.37763,0.000557,0.000557,0.000557
58,570.477,0.84062,1.39639,1.16494,0.94594,1,0.995,0.57251,1.43823,0.67358,1.86286,0.000544625,0.000544625,0.000544625
59,575.911,0.91769,1.14977,1.32736,0.94155,0.99998,0.995,0.57767,1.46644,0.7445,1.87909,0.00053225,0.00053225,0.00053225
60,581.418,0.85525,1.03472,1.29453,0.95971,1,0.995,0.55274,1.6326,0.70609,2.14286,0.000519875,0.000519875,0.000519875
61,587.016,0.83035,1.04016,1.24685,0.946,1,0.995,0.61354,1.52364,0.63058,2.09683,0.0005075,0.0005075,0.0005075
62,592.833,0.79465,0.96267,1.21282,0.92805,1,0.995,0.66333,1.4129,0.63725,1.95689,0.000495125,0.000495125,0.000495125
63,598.542,0.86387,1.05086,1.30146,0.92832,1,0.995,0.67162,1.32514,0.57027,1.91589,0.00048275,0.00048275,0.00048275
64,604.064,0.86665,1.07398,1.31333,0.94246,1,0.995,0.66333,1.48667,0.62657,2.19143,0.000470375,0.000470375,0.000470375
65,609.899,0.84757,0.99357,1.2926,0.95941,1,0.995,0.63848,1.43979,0.58043,2.07299,0.000458,0.000458,0.000458
66,615.453,0.81252,0.93324,1.22068,0.95749,1,0.995,0.6965,1.3451,0.57154,1.92936,0.000445625,0.000445625,0.000445625
67,621.173,0.82066,0.97324,1.18716,0.96312,1,0.995,0.67164,1.39699,0.58746,1.94137,0.00043325,0.00043325,0.00043325
68,627.076,0.78727,0.98599,1.19588,0.94263,1,0.995,0.67164,1.37705,0.57798,1.90822,0.000420875,0.000420875,0.000420875
69,632.924,0.80625,0.97217,1.26717,0.94213,1,0.995,0.66333,1.49897,0.62271,2.06084,0.0004085,0.0004085,0.0004085
70,638.638,0.74797,0.96599,1.17806,0.95663,1,0.995,0.63017,1.55291,0.62237,2.12209,0.000396125,0.000396125,0.000396125
71,644.228,0.74319,0.90841,1.1848,0.94684,1,0.995,0.6385,1.49325,0.6041,2.06637,0.00038375,0.00038375,0.00038375
72,649.779,0.65323,0.86476,1.10234,0.96294,1,0.995,0.64686,1.4279,0.57255,1.99571,0.000371375,0.000371375,0.000371375
73,655.365,0.74492,0.90871,1.17811,0.95076,1,0.995,0.67168,1.48327,0.56907,2.07527,0.000359,0.000359,0.000359
74,661.081,0.69438,0.84007,1.1408,0.93975,1,0.995,0.60533,1.50931,0.55569,2.09047,0.000346625,0.000346625,0.000346625
75,666.722,0.72901,0.82396,1.1758,0.94418,1,0.995,0.63849,1.5452,0.5485,2.10601,0.00033425,0.00033425,0.00033425
76,672.562,0.65996,0.92412,1.15258,0.94838,1,0.995,0.63848,1.48154,0.53816,2.06978,0.000321875,0.000321875,0.000321875
77,678.18,0.83658,0.91354,1.28245,0.92254,1,0.995,0.61361,1.52483,0.53586,2.18771,0.0003095,0.0003095,0.0003095
